asin,title,author,narrator,runtime_minutes,runtime_hours,price_usd,star_rating,review_count,value_score,cost_per_hour_usd,credit_worth_ratio,worth_using_credit,categories,cover_image_url,detail_page_url
B0H728M1GQ,Becoming,Michelle Obama,Michelle Obama,1140,19.00,21.99,4.8,96800,4.15,1.16,1.47,Yes,Biography | Memoir | Non-Fiction,https://m.media-amazon.com/images/I/51yAEeg3vqL._SL500_.jpg,https://www.amazon.com/dp/B0H728M1GQ
B008PEX62M,'Salem's Lot,"Stephen King, Joe Hill - introduction","Ron McLarty, Joe Hill",1057,17.62,19.12,4.5,1465,4.15,1.09,1.28,Yes,Horror | Supernatural | Fiction,https://m.media-amazon.com/images/I/41KsvPh5sdL._SL500_.jpg,https://www.amazon.com/dp/B008PEX62M
B00NYBQKFQ,The Nightingale,Kristin Hannah,Polly Stone,1020,17.00,19.99,4.8,58600,4.08,1.18,1.34,Yes,Historical Fiction | Fiction,https://m.media-amazon.com/images/I/51lJVAGTuNL._SL500_.jpg,https://www.amazon.com/dp/B00NYBQKFQ
B0H956N76W,Bram Stoker's Dracula,"Bram Stoker, Robyn Ahern - adaptation","Jonathan Bailey, Ella Purnell, Aimee Lou Wood, Louis Partridge, David Jonsson, Johnny Flynn, Lesley Manville, Maggie Gyllenhaal",960,16.00,15.43,3.9,2121,4.04,0.96,1.03,Yes,Classic | Horror | Fiction,https://m.media-amazon.com/images/I/51zX1-P-xVL._SL500_.jpg,https://www.amazon.com/dp/B0H956N76W
B00CAVOFNU,The Cuckoo's Calling,Robert Galbraith,Robert Glenister,953,15.88,17.84,4.5,99,4.01,1.12,1.19,Yes,Mystery | Thriller | Fiction,https://m.media-amazon.com/images/I/61tmefshS7L._SL500_.jpg,https://www.amazon.com/dp/B00CAVOFNU
B002UZKYDQ,The Help,Kathryn Stockett,"Jenna Lamia, Bahni Turpin, Octavia Spencer, Cassandra Campbell",1020,17.00,19.99,4.7,44100,4.00,1.18,1.34,Yes,Historical Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/513lJz2uywL._SL500_.jpg,https://www.amazon.com/dp/B002UZKYDQ
B0F6FKS98Z,Leviathan Wakes,James S.A. Corey,Jefferson Mays,1140,19.00,21.99,4.6,31700,3.97,1.16,1.47,Yes,Science Fiction | Space Opera | Fiction,https://m.media-amazon.com/images/I/51fexTANMLL._SL500_.jpg,https://www.amazon.com/dp/B0F6FKS98Z
B06XV1PVF5,Cosmos,Carl Sagan,"LeVar Burton, Seth MacFarlane, Neil deGrasse Tyson, Ann Druyan",871,14.52,16.66,4.5,653,3.92,1.15,1.11,Yes,Non-Fiction | Science | History,https://m.media-amazon.com/images/I/51e91glnHUL._SL500_.jpg,https://www.amazon.com/dp/B06XV1PVF5
B002V1NT6I,New Moon,Stephenie Meyer,Ilyana Kadushin,891,14.85,17.15,4.5,554,3.90,1.15,1.15,Yes,Young Adult | Romance | Fantasy,https://m.media-amazon.com/images/I/41nWb6aqWoL._SL500_.jpg,https://www.amazon.com/dp/B002V1NT6I
B01DYO4QRQ,A Court of Mist and Fury,Sarah J. Maas,Jennifer Ikeda,960,16.00,19.99,4.8,85600,3.84,1.25,1.34,Yes,Fantasy | Romance | Young Adult | Fiction,https://m.media-amazon.com/images/I/51J8T7o92gL._SL500_.jpg,https://www.amazon.com/dp/B01DYO4QRQ
